year	N	gen_time	suppPop	Captive_N	translocations	non_trans	N_NoGrwt
1773	16638	0	NA	NA	0	NA	16638
1774	16533	1	NA	NA	0	NA	16533
1775	16428	2	NA	NA	0	NA	16428
1776	16324	3	NA	NA	0	NA	16324
1777	16219	4	NA	NA	0	NA	16219
1778	16114	5	NA	NA	0	NA	16114
1779	16010	6	NA	NA	0	NA	16010
1780	15905	7	NA	NA	0	NA	15905
1781	15800	8	NA	NA	0	NA	15800
1782	15696	9	NA	NA	0	NA	15696
1783	15591	10	NA	NA	0	NA	15591
1784	15486	11	NA	NA	0	NA	15486
1785	15382	12	NA	NA	0	NA	15382
1786	15277	13	NA	NA	0	NA	15277
1787	15172	14	NA	NA	0	NA	15172
1788	15068	15	NA	NA	0	NA	15068
1789	14963	16	NA	NA	0	NA	14963
1790	14859	17	NA	NA	0	NA	14859
1791	14754	18	NA	NA	0	NA	14754
1792	14649	19	NA	NA	0	NA	14649
1793	14545	20	NA	NA	0	NA	14545
1794	14440	21	NA	NA	0	NA	14440
1795	14335	22	NA	NA	0	NA	14335
1796	14231	23	NA	NA	0	NA	14231
1797	14126	24	NA	NA	0	NA	14126
1798	14021	25	NA	NA	0	NA	14021
1799	13917	26	NA	NA	0	NA	13917
1800	13812	27	NA	NA	0	NA	13812
1801	13707	28	NA	NA	0	NA	13707
1802	13603	29	NA	NA	0	NA	13603
1803	13498	30	NA	NA	0	NA	13498
1804	13394	31	NA	NA	0	NA	13394
1805	13289	32	NA	NA	0	NA	13289
1806	13184	33	NA	NA	0	NA	13184
1807	13080	34	NA	NA	0	NA	13080
1808	12975	35	NA	NA	0	NA	12975
1809	12870	36	NA	NA	0	NA	12870
1810	12766	37	NA	NA	0	NA	12766
1811	12661	38	NA	NA	0	NA	12661
1812	12556	39	NA	NA	0	NA	12556
1813	12452	40	NA	NA	0	NA	12452
1814	12347	41	NA	NA	0	NA	12347
1815	12242	42	NA	NA	0	NA	12242
1816	12138	43	NA	NA	0	NA	12138
1817	12033	44	NA	NA	0	NA	12033
1818	11928	45	NA	NA	0	NA	11928
1819	11824	46	NA	NA	0	NA	11824
1820	11719	47	NA	NA	0	NA	11719
1821	11615	48	NA	NA	0	NA	11615
