    Year (Census)
    Proportion of populations extant, SE
    Proportion of populations going extinct for the first time in year, SE
    Deterministic growth, Stochastic growth, SE, SD
    Mean population size (across extant populations), SE, SD
    Mean population size (across all populations), SE, SD
    Mean expected heterozygosity, SE, SD
    Mean inbreeding coefficient, SE, SD
    Mean number of alleles, SE, SD
    Mean number of lethal alleles, SE, SD
    Mean time to extinction, SE, SD
    Median time to extinction
    PSVars(1): Mean, SE, SD
Year;PExtant;SE(PExtant);PExtinct;SE(PExtinct);r-det;r-stoch;SE(r);SD(r);Nextant;SE(Nextant);SD(Nextant);Nall;SE(Nall);SD(Nall);Het;SE(Het);SD(Het);Inbr;SE(Inbr);SD(Inbr);Nalleles;SE(Nalleles);SD(Nalleles);Nlethals;SE(Nlethals);SD(Nlethals);TE;SE(TE);SD(TE);medTE;PSvar1;SE(PSvar1);SD(PSvar1)
Scenario_1
Population 1: PW
0; 1.0000; 0.0000; 0.0000; 0.0000; 0.0008;      0;      0;      0; 70.00; 0.00; 0.00; 70.00; 0.00; 0.00; 0.5381; 0.0002; 0.0069; 0.4581; 0.0004; 0.0121; 4.11; 0.00; 0.06; 7.56; 0.01; 0.28; 0.00; 0.00; 0.00; 0; 0.0000; 0.0000; 0.0000
1; 1.0000; 0.0000; 0.0000; 0.0000; 0.0008; 0.1085; 0.0057; 0.1808; 79.24; 0.42; 13.34; 79.24; 0.42; 13.34; 0.5457; 0.0002; 0.0074; 0.4604; 0.0004; 0.0120; 4.71; 0.00; 0.14; 7.57; 0.01; 0.31; 0.00; 0.00; 0.00; 0; 0.1500; 0.0000; 0.0000
2; 1.0000; 0.0000; 0.0000; 0.0000; 0.0008; 0.0492; 0.0062; 0.1957; 84.21; 0.60; 18.91; 84.21; 0.60; 18.91; 0.5462; 0.0002; 0.0078; 0.4615; 0.0004; 0.0119; 4.79; 0.00; 0.15; 7.55; 0.01; 0.32; 0.00; 0.00; 0.00; 0; 0.1500; 0.0000; 0.0003
3; 1.0000; 0.0000; 0.0000; 0.0000; 0.0008; 0.0429; 0.0065; 0.2059; 88.83; 0.75; 23.84; 88.83; 0.75; 23.84; 0.5450; 0.0003; 0.0082; 0.4616; 0.0004; 0.0124; 4.79; 0.00; 0.16; 7.56; 0.01; 0.34; 0.00; 0.00; 0.00; 0; 0.1501; 0.0000; 0.0006
4; 1.0000; 0.0000; 0.0000; 0.0000; 0.0008; 0.0205; 0.0066; 0.2082; 91.83; 0.91; 28.78; 91.83; 0.91; 28.78; 0.5433; 0.0003; 0.0088; 0.4612; 0.0004; 0.0128; 4.78; 0.01; 0.17; 7.56; 0.01; 0.36; 0.00; 0.00; 0.00; 0; 0.1503; 0.0000; 0.0008
5; 1.0000; 0.0000; 0.0000; 0.0000; 0.0008; 0.0197; 0.0065; 0.2055; 94.59; 1.03; 32.59; 94.59; 1.03; 32.59; 0.5414; 0.0003; 0.0095; 0.4613; 0.0004; 0.0132; 4.76; 0.01; 0.18; 7.56; 0.01; 0.36; 0.00; 0.00; 0.00; 0; 0.1505; 0.0000; 0.0010
6; 1.0000; 0.0000; 0.0000; 0.0000; 0.0008; 0.0195; 0.0062; 0.1959; 97.57; 1.15; 36.44; 97.57; 1.15; 36.44; 0.5398; 0.0003; 0.0099; 0.4609; 0.0004; 0.0137; 4.73; 0.01; 0.19; 7.57; 0.01; 0.38; 0.00; 0.00; 0.00; 0; 0.1507; 0.0000; 0.0011
7; 1.0000; 0.0000; 0.0000; 0.0000; 0.0008; 0.0065; 0.0065; 0.2041; 99.73; 1.30; 41.02; 99.73; 1.30; 41.02; 0.5384; 0.0003; 0.0103; 0.4608; 0.0005; 0.0144; 4.71; 0.01; 0.21; 7.56; 0.01; 0.41; 0.00; 0.00; 0.00; 0; 0.1512; 0.0000; 0.0014
