    Year (Census)
    Proportion of populations extant, SE
    Proportion of populations going extinct for the first time in year, SE
    Deterministic growth, Stochastic growth, SE, SD
    Mean population size (across extant populations), SE, SD
    Mean population size (across all populations), SE, SD
    Mean expected heterozygosity, SE, SD
    Mean inbreeding coefficient, SE, SD
    Mean number of alleles, SE, SD
    Mean number of lethal alleles, SE, SD
    Mean time to extinction, SE, SD
    Median time to extinction
    PSVars(1): Mean, SE, SD
Year;PExtant;SE(PExtant);PExtinct;SE(PExtinct);r-det;r-stoch;SE(r);SD(r);Nextant;SE(Nextant);SD(Nextant);Nall;SE(Nall);SD(Nall);Het;SE(Het);SD(Het);Inbr;SE(Inbr);SD(Inbr);Nalleles;SE(Nalleles);SD(Nalleles);Nlethals;SE(Nlethals);SD(Nlethals);TE;SE(TE);SD(TE);medTE;PSvar1;SE(PSvar1);SD(PSvar1)
Scenario_3
Population 1: PW
0; 1.0000; 0.0000; 0.0000; 0.0000; 0.0008;      0;      0;      0; 70.00; 0.00; 0.00; 70.00; 0.00; 0.00; 0.5383; 0.0002; 0.0068; 0.4580; 0.0004; 0.0119; 4.11; 0.00; 0.06; 7.56; 0.01; 0.29; 0.00; 0.00; 0.00; 0; 0.0000; 0.0000; 0.0000
1; 1.0000; 0.0000; 0.0000; 0.0000; 0.0008; 0.1095; 0.0058; 0.1848; 79.36; 0.42; 13.42; 79.36; 0.42; 13.42; 0.5456; 0.0002; 0.0073; 0.4610; 0.0004; 0.0121; 4.71; 0.00; 0.14; 7.58; 0.01; 0.32; 0.00; 0.00; 0.00; 0; 0.1500; 0.0000; 0.0000
2; 1.0000; 0.0000; 0.0000; 0.0000; 0.0008; 0.0553; 0.0061; 0.1922; 84.91; 0.61; 19.37; 84.91; 0.61; 19.37; 0.5459; 0.0003; 0.0079; 0.4616; 0.0004; 0.0124; 4.78; 0.00; 0.15; 7.57; 0.01; 0.32; 0.00; 0.00; 0.00; 0; 0.1500; 0.0000; 0.0003
3; 1.0000; 0.0000; 0.0000; 0.0000; 0.0008; 0.0424; 0.0064; 0.2032; 89.67; 0.78; 24.77; 89.67; 0.78; 24.77; 0.5449; 0.0003; 0.0083; 0.4618; 0.0004; 0.0127; 4.80; 0.01; 0.16; 7.57; 0.01; 0.34; 0.00; 0.00; 0.00; 0; 0.1501; 0.0000; 0.0005
4; 1.0000; 0.0000; 0.0000; 0.0000; 0.0008; 0.0263; 0.0060; 0.1890; 93.25; 0.94; 29.75; 93.25; 0.94; 29.75; 0.5429; 0.0003; 0.0092; 0.4621; 0.0004; 0.0133; 4.79; 0.01; 0.17; 7.56; 0.01; 0.36; 0.00; 0.00; 0.00; 0; 0.1503; 0.0000; 0.0007
5; 1.0000; 0.0000; 0.0000; 0.0000; 0.0008; 0.1209; 0.0061; 0.1917; 105.28; 1.09; 34.52; 105.28; 1.09; 34.52; 0.5512; 0.0003; 0.0090; 0.4578; 0.0004; 0.0125; 5.17; 0.01; 0.19; 7.55; 0.01; 0.35; 0.00; 0.00; 0.00; 0; 0.1449; 0.0001; 0.0024
6; 1.0000; 0.0000; 0.0000; 0.0000; 0.0008; 0.0108; 0.0065; 0.2064; 107.18; 1.20; 37.90; 107.18; 1.20; 37.90; 0.5480; 0.0003; 0.0097; 0.4567; 0.0004; 0.0126; 5.05; 0.01; 0.21; 7.56; 0.01; 0.37; 0.00; 0.00; 0.00; 0; 0.1450; 0.0001; 0.0031
7; 1.0000; 0.0000; 0.0000; 0.0000; 0.0008; 0.0144; 0.0063; 0.1987; 108.97; 1.27; 40.04; 108.97; 1.27; 40.04; 0.5465; 0.0003; 0.0100; 0.4559; 0.0004; 0.0129; 5.00; 0.01; 0.22; 7.56; 0.01; 0.39; 0.00; 0.00; 0.00; 0; 0.1445; 0.0001; 0.0035
