UniqueID,Location,LocalID,Inbreeding,BirthDate,DeathDate,AgeDays
15,JERSEY,B716,0,08/08/1977,14/06/1988,3963
16,JERSEY,B1240,0,17/08/1977,29/08/1977,12
19,JERSEY,B1241,0,22/03/1978,23/03/1978,1
20,JERSEY,B1242,0,28/03/1978,30/03/1978,2
21,JERSEY,B1243,0,22/04/1978,24/04/1978,2
22,JERSEY,B2615,0,17/05/1978,23/07/1993,5546
23,JERSEY,B566,0,31/05/1978,19/12/1986,3124
24,BLACKRIVE,32,0,31/05/1978,07/05/1982,1437
25,PAIGNTON,379,0,10/06/1978,11/04/1989,3958
26,JERSEY,B573,0,01/07/1978,09/09/1980,801
27,CHARD,MPP1,0,23/07/1978,01/01/1990,4180
29,JERSEY,B717,0,15/08/1978,26/09/1996,6617
30,JERSEY,B576,0,20/09/1978,08/11/1987,3336
31,JERSEY,B1244,0,22/09/1978,22/09/1978,0
33,BLACKRIVE,31,0,23/09/1978,11/06/1982,1357
35,BLACKRIVE,20,0,10/12/1978,18/10/1983,1773
36,WALSRODE,______,0,16/05/1979,28/06/1985,2235
38,JERSEY,B616,0,16/07/1979,28/03/1996,6100
39,J.E.COOPE,NONE,0,26/07/1979,28/05/1987,2863
43,JERSEY,B1245,0,25/08/1979,31/08/1979,6
45,BLACKRIVE,30,0,10/09/1979,14/06/1981,643
46,JERSEY,B657,0,14/09/1979,09/07/1982,1029
55,JERSEY,B718,0,05/02/1980,31/12/1985,2156
68,JERSEY,B1246,0,26/06/1980,27/06/1980,1
69,BLACKRIVE,54,0,03/07/1980,09/09/1982,798
71,JURONG,J37,0,28/07/1980,01/01/1993,4540
74,JERSEY,B719,0,12/10/1980,23/02/1984,1229
75,BLACKRIVE,61,0,13/10/1980,19/10/1983,1101
81,BLACKRIVE,67,0,11/12/1980,21/02/1982,437
83,JERSEY,B720,0,30/01/1981,21/07/1984,1268
85,JERSEY,B758,0,20/02/1982,18/03/1985,1122
87,JERSEY,B721,0,15/04/1981,09/09/1987,2338
91,JURONG,J38,0,21/06/1981,01/01/1993,4212
92,JERSEY,B1247,0,23/06/1981,26/06/1981,3
96,JERSEY,B1248,0,28/07/1981,29/07/1981,1
97,BLACKRIVE,120,0,29/07/1981,16/05/1982,291
98,JERSEY,B1249,0,04/08/1981,05/08/1981,1
99,BLACKRIVE,80,0,17/08/1981,30/04/1986,1717
100,BLACKRIVE,81,0,21/08/1981,21/08/1981,0
101,BLACKRIVE,121,0,23/08/1981,20/01/1986,1611
102,JERSEY,B730,0,25/08/1981,11/09/1983,747
105,JERSEY,B1250,0,04/09/1981,05/09/1981,1
